2025-06-12 08:41:20 | INFO |p_gui | MainThread |  main_gui : main_gui:109 | ----------------------------------------gui_start----------------------------------------
2025-06-12 08:41:20 | INFO |p_gui | MainThread |  main_gui : main_gui:95 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 08:41:20 | INFO |p_gui | MainThread |  main_gui : main_gui:114 | loading config start
2025-06-12 08:41:20 | INFO |p_gui | MainThread |  main_gui : main_gui:25 | 相机配置文件读取成功。
2025-06-12 08:41:20 | INFO |p_gui | MainThread |  main_gui : main_gui:36 | 串口通讯配置文件读取成功。
2025-06-12 08:51:03 | INFO |p_gui | MainThread |  main_gui : main_gui:109 | ----------------------------------------gui_start----------------------------------------
2025-06-12 08:51:03 | INFO |p_gui | MainThread |  main_gui : main_gui:95 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 08:51:03 | INFO |p_gui | MainThread |  main_gui : main_gui:114 | loading config start
2025-06-12 08:51:03 | INFO |p_gui | MainThread |  main_gui : main_gui:25 | 相机配置文件读取成功。
2025-06-12 08:51:03 | INFO |p_gui | MainThread |  main_gui : main_gui:36 | 串口通讯配置文件读取成功。
2025-06-12 08:51:03 | ERROR |p_gui | MainThread |  config.yamlParser : yamlParser:22 | 读取./gui_configer.yaml配置文件失败！失败原因：mapping values are not allowed here
  in "./gui_configer.yaml", line 36, column 12
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  main_gui : main_gui:115 | ----------------------------------------gui_start----------------------------------------
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  main_gui : main_gui:101 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  main_gui : main_gui:120 | loading config start
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  main_gui : main_gui:25 | 相机配置文件读取成功。
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  main_gui : main_gui:37 | 串口通讯配置文件读取成功。
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | loading config finish
2025-06-12 08:55:51 | INFO |p_gui | MainThread |  main_gui : main_gui:78 | start Qt
2025-06-12 08:55:52 | ERROR |p_gui | MainThread |  main_gui : main_gui:130 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  main_gui : main_gui:115 | ----------------------------------------gui_start----------------------------------------
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  main_gui : main_gui:101 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  main_gui : main_gui:120 | loading config start
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  main_gui : main_gui:25 | 相机配置文件读取成功。
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  main_gui : main_gui:37 | 串口通讯配置文件读取成功。
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | loading config finish
2025-06-12 08:56:52 | INFO |p_gui | MainThread |  main_gui : main_gui:78 | start Qt
2025-06-12 08:56:52 | ERROR |p_gui | MainThread |  main_gui : main_gui:130 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | ----------------------------------------gui_start----------------------------------------
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  main_gui : main_gui:108 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  main_gui : main_gui:127 | loading config start
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  main_gui : main_gui:129 | loading config finish
2025-06-12 08:58:36 | INFO |p_gui | MainThread |  main_gui : main_gui:85 | start Qt
2025-06-12 08:58:37 | ERROR |p_gui | MainThread |  main_gui : main_gui:137 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  main_gui : main_gui:123 | ----------------------------------------gui_start----------------------------------------
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  main_gui : main_gui:109 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  main_gui : main_gui:128 | loading config start
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  main_gui : main_gui:130 | loading config finish
2025-06-12 08:59:24 | INFO |p_gui | MainThread |  main_gui : main_gui:86 | start Qt
2025-06-12 08:59:24 | ERROR |p_gui | MainThread |  main_gui : main_gui:138 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | ----------------------------------------gui_start----------------------------------------
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  main_gui : main_gui:108 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  main_gui : main_gui:127 | loading config start
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  main_gui : main_gui:129 | loading config finish
2025-06-12 09:00:42 | INFO |p_gui | MainThread |  main_gui : main_gui:85 | start Qt
2025-06-12 09:00:42 | ERROR |p_gui | MainThread |  main_gui : main_gui:137 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | ----------------------------------------gui_start----------------------------------------
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  main_gui : main_gui:108 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  main_gui : main_gui:127 | loading config start
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  main_gui : main_gui:129 | loading config finish
2025-06-12 09:01:06 | INFO |p_gui | MainThread |  main_gui : main_gui:85 | start Qt
2025-06-12 09:01:06 | ERROR |p_gui | MainThread |  main_gui : main_gui:137 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 09:01:40 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | ----------------------------------------gui_start----------------------------------------
2025-06-12 09:01:40 | INFO |p_gui | MainThread |  main_gui : main_gui:108 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 09:01:40 | INFO |p_gui | MainThread |  main_gui : main_gui:127 | loading config start
2025-06-12 09:01:40 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 09:01:40 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 09:01:40 | ERROR |p_gui | MainThread |  config.yamlParser : yamlParser:22 | 读取./gui_configer.yaml配置文件失败！失败原因：mapping values are not allowed here
  in "./gui_configer.yaml", line 36, column 12
2025-06-12 09:01:40 | ERROR |p_gui | MainThread |  main_gui : main_gui:46 | ./gui_configer.yaml配置文件读取失败
2025-06-12 09:01:40 | INFO |p_gui | MainThread |  main_gui : main_gui:69 | ----------------------------------------quit Qt application----------------------------------------
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | ----------------------------------------gui_start----------------------------------------
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  main_gui : main_gui:108 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  main_gui : main_gui:127 | loading config start
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  main_gui : main_gui:129 | loading config finish
2025-06-12 09:02:53 | INFO |p_gui | MainThread |  main_gui : main_gui:85 | start Qt
2025-06-12 09:02:54 | ERROR |p_gui | MainThread |  main_gui : main_gui:137 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  main_gui : main_gui:123 | ----------------------------------------gui_start----------------------------------------
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  main_gui : main_gui:109 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  main_gui : main_gui:128 | loading config start
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  main_gui : main_gui:130 | loading config finish
2025-06-12 09:03:50 | INFO |p_gui | MainThread |  main_gui : main_gui:86 | start Qt
2025-06-12 09:03:51 | ERROR |p_gui | MainThread |  main_gui : main_gui:138 | gui程序运行异常，原因：list index out of range，终止gui进程和comm进程
2025-06-12 09:04:48 | INFO |p_gui | MainThread |  main_gui : main_gui:122 | ----------------------------------------gui_start----------------------------------------
2025-06-12 09:04:48 | INFO |p_gui | MainThread |  main_gui : main_gui:108 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal
2025-06-12 09:04:48 | INFO |p_gui | MainThread |  main_gui : main_gui:127 | loading config start
2025-06-12 09:04:48 | INFO |p_gui | MainThread |  main_gui : main_gui:26 | 相机配置文件读取成功。
2025-06-12 09:04:48 | INFO |p_gui | MainThread |  main_gui : main_gui:38 | 串口通讯配置文件读取成功。
2025-06-12 09:04:48 | INFO |p_gui | MainThread |  theme.ThemeManager : ThemeManager:64 | ThemeManger:instance._current_theme:  light
