Timestamp,X (m),Y (m),Z (m)
1746865039,-0.0,-0.0,0.0
1746865040,-0.0,-0.0,0.0
1746865041,-0.0,-0.0,0.0
1746865042,-0.0,-0.0,0.0
1746865043,-0.0,-0.0,0.0
1746865044,-0.0,-0.0,0.0
