2025-04-25 09:06:48 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:48 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:48 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:49 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:49 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:49 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:49 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:49 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:50 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:50 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:50 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:50 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:50 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:51 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:06:51 | INFO | __main__ : main:52 | ----------------------------------------quit Qt application----------------------------------------
2025-04-25 09:22:08 | INFO | __main__ : main:102 | ----------------------------------------start----------------------------------------
2025-04-25 09:22:08 | INFO | __main__ : main:90 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal_message
2025-04-25 09:22:08 | INFO | __main__ : main:106 | loading config start
2025-04-25 09:22:08 | INFO | __main__ : main:25 | 串口通讯配置文件读取成功。
2025-04-25 09:22:08 | INFO | theme.ThemeManager : ThemeManager:60 | ThemeManger:instance._current_theme:  light
2025-04-25 09:22:08 | INFO | __main__ : main:108 | loading config finish
2025-04-25 09:22:08 | INFO | __main__ : main:61 | start Qt
2025-04-25 09:22:11 | INFO | index.mainWindow : mainWindow:202 | time update thread start
2025-04-25 09:22:11 | WARNING | index.mainWindow : mainWindow:116 | logolabel_btn button's icon resource file was not found！
2025-04-25 09:22:11 | INFO | __main__ : main:68 | Appliacation start
2025-04-25 09:22:11 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:22:11 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:22:12 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:22:12 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:22:12 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:22:12 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[0.0,0.0] y=[0,0]
2025-04-25 09:22:12 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|675|-36.74519468423518|2025-04-25/09:22:12.386
2025-04-25 09:22:12 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [0, 0]|[0, 0]|[True, True]
2025-04-25 09:22:12 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544132.386] y=[-36.74519468423518,0]
2025-04-25 09:22:13 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544132.386] y=[-36.74519468423518,0]
2025-04-25 09:22:13 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544132.386] y=[-36.74519468423518,0]
2025-04-25 09:22:13 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544132.386] y=[-36.74519468423518,0]
2025-04-25 09:22:13 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544132.386] y=[-36.74519468423518,0]
2025-04-25 09:22:13 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|676|78.38222520629003|2025-04-25/09:22:13.415
2025-04-25 09:22:13 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [675, 0]|[1, 0]|[False, True]
2025-04-25 09:22:13 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544133.415] y=[-36.74519468423518,78.38222520629003]
2025-04-25 09:22:14 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544133.415] y=[-36.74519468423518,78.38222520629003]
2025-04-25 09:22:14 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544133.415] y=[-36.74519468423518,78.38222520629003]
2025-04-25 09:22:14 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544133.415] y=[-36.74519468423518,78.38222520629003]
2025-04-25 09:22:14 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544133.415] y=[-36.74519468423518,78.38222520629003]
2025-04-25 09:22:14 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|677|89.03478297310645|2025-04-25/09:22:14.522
2025-04-25 09:22:14 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [676, 0]|[1, 0]|[False, True]
2025-04-25 09:22:14 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544134.522] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:15 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544134.522] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:15 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544134.522] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:15 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544134.522] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:15 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544134.522] y=[-36.74519468423518,89.03478297310645]
