2025-04-07 13:11:10 | INFO | __main__ : main:40 | ------------------------------start------------------------------
2025-04-07 13:11:10 | INFO | __main__ : main:42 | loading config start
2025-04-07 13:11:10 | INFO | theme.ThemeManager : ThemeManager:53 | ThemeManger:instance._current_theme:  dark
2025-04-07 13:11:10 | INFO | __main__ : main:44 | loading config finish
2025-04-07 13:11:10 | INFO | __main__ : main:46 | start Qt
2025-04-07 13:11:10 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_left_bottom_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:11:11 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:11:11 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_2‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:11:11 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_3‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:11:11 | INFO | index.mainWindow : mainWindow:165 | time update thread start
2025-04-07 13:11:11 | INFO | __main__ : main:51 | Appliacation start
2025-04-07 13:11:14 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
2025-04-07 13:11:14 | WARNING | index.mainWindow : mainWindow:247 | menu6's tab page not exists charts_list ！
2025-04-07 13:11:15 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
2025-04-07 13:11:15 | WARNING | index.mainWindow : mainWindow:247 | menu6's tab page not exists charts_list ！
2025-04-07 13:19:38 | INFO | __main__ : main:40 | ------------------------------start------------------------------
2025-04-07 13:19:38 | INFO | __main__ : main:42 | loading config start
2025-04-07 13:19:38 | INFO | theme.ThemeManager : ThemeManager:53 | ThemeManger:instance._current_theme:  dark
2025-04-07 13:19:38 | INFO | __main__ : main:44 | loading config finish
2025-04-07 13:19:38 | INFO | __main__ : main:46 | start Qt
2025-04-07 13:19:38 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_left_bottom_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:19:38 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:19:38 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_2‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:19:38 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_3‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:19:38 | INFO | index.mainWindow : mainWindow:165 | time update thread start
2025-04-07 13:19:39 | INFO | __main__ : main:51 | Appliacation start
2025-04-07 13:32:05 | INFO | __main__ : main:40 | ------------------------------start------------------------------
2025-04-07 13:32:05 | INFO | __main__ : main:42 | loading config start
2025-04-07 13:32:05 | INFO | theme.ThemeManager : ThemeManager:53 | ThemeManger:instance._current_theme:  dark
2025-04-07 13:32:05 | INFO | __main__ : main:44 | loading config finish
2025-04-07 13:32:05 | INFO | __main__ : main:46 | start Qt
2025-04-07 13:32:05 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_left_bottom_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:32:06 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:32:06 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_2‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:32:06 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_3‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:32:06 | INFO | index.mainWindow : mainWindow:165 | time update thread start
2025-04-07 13:32:06 | INFO | __main__ : main:51 | Appliacation start
2025-04-07 13:35:25 | INFO | __main__ : main:40 | ------------------------------start------------------------------
2025-04-07 13:35:25 | INFO | __main__ : main:42 | loading config start
2025-04-07 13:35:25 | INFO | theme.ThemeManager : ThemeManager:53 | ThemeManger:instance._current_theme:  light
2025-04-07 13:35:25 | INFO | __main__ : main:44 | loading config finish
2025-04-07 13:35:25 | INFO | __main__ : main:46 | start Qt
2025-04-07 13:35:25 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_left_bottom_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:35:28 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_1‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:35:28 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_2‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:35:28 | INFO | ui.customize_ui.customize_charts : customize_charts:163 | charts_tab1_right_3‘s data’s min&max x=[1.0,3.0] y=[-398.0,403.0]
2025-04-07 13:35:28 | INFO | index.mainWindow : mainWindow:165 | time update thread start
2025-04-07 13:35:28 | INFO | __main__ : main:51 | Appliacation start
2025-04-07 13:35:30 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
2025-04-07 13:35:30 | WARNING | index.mainWindow : mainWindow:247 | menu6's tab page not exists charts_list ！
2025-04-07 13:35:31 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
2025-04-07 13:35:31 | WARNING | index.mainWindow : mainWindow:247 | menu6's tab page not exists charts_list ！
2025-04-07 13:35:32 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
2025-04-07 13:35:32 | WARNING | index.mainWindow : mainWindow:247 | menu6's tab page not exists charts_list ！
2025-04-07 13:35:32 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
2025-04-07 13:35:32 | WARNING | index.mainWindow : mainWindow:247 | menu6's tab page not exists charts_list ！
2025-04-07 13:35:33 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
2025-04-07 13:35:33 | WARNING | index.mainWindow : mainWindow:247 | menu6's tab page not exists charts_list ！
2025-04-07 13:35:33 | WARNING | index.mainWindow : mainWindow:225 | logolabel_btn button's icon resource file was not found！
