2025-05-10 15:01:10 | INFO | __main__ : main:102 | ----------------------------------------start----------------------------------------
2025-05-10 15:01:10 | INFO | __main__ : main:90 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal_message
2025-05-10 15:01:10 | INFO | __main__ : main:106 | loading config start
2025-05-10 15:01:10 | INFO | __main__ : main:25 | 串口通讯配置文件读取成功。
2025-05-10 15:01:10 | INFO | theme.ThemeManager : ThemeManager:60 | ThemeManger:instance._current_theme:  light
2025-05-10 15:01:10 | INFO | __main__ : main:108 | loading config finish
2025-05-10 15:01:10 | INFO | __main__ : main:61 | start Qt
2025-05-10 15:01:27 | INFO | __main__ : main:102 | ----------------------------------------start----------------------------------------
2025-05-10 15:01:27 | INFO | __main__ : main:90 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal_message
2025-05-10 15:01:27 | INFO | __main__ : main:106 | loading config start
2025-05-10 15:01:27 | INFO | __main__ : main:25 | 串口通讯配置文件读取成功。
2025-05-10 15:01:27 | INFO | theme.ThemeManager : ThemeManager:60 | ThemeManger:instance._current_theme:  light
2025-05-10 15:01:27 | INFO | __main__ : main:108 | loading config finish
2025-05-10 15:01:27 | INFO | __main__ : main:61 | start Qt
2025-05-10 15:03:14 | INFO | __main__ : main:102 | ----------------------------------------start----------------------------------------
2025-05-10 15:03:14 | INFO | __main__ : main:90 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal_message
2025-05-10 15:03:14 | INFO | __main__ : main:106 | loading config start
2025-05-10 15:03:14 | INFO | __main__ : main:25 | 串口通讯配置文件读取成功。
2025-05-10 15:03:14 | INFO | theme.ThemeManager : ThemeManager:60 | ThemeManger:instance._current_theme:  light
2025-05-10 15:03:14 | INFO | __main__ : main:108 | loading config finish
2025-05-10 15:03:14 | INFO | __main__ : main:61 | start Qt
2025-05-10 15:04:34 | INFO | __main__ : main:102 | ----------------------------------------start----------------------------------------
2025-05-10 15:04:34 | INFO | __main__ : main:90 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal_message
2025-05-10 15:04:34 | INFO | __main__ : main:106 | loading config start
2025-05-10 15:04:34 | INFO | __main__ : main:25 | 串口通讯配置文件读取成功。
2025-05-10 15:04:34 | INFO | theme.ThemeManager : ThemeManager:60 | ThemeManger:instance._current_theme:  light
2025-05-10 15:04:34 | INFO | __main__ : main:108 | loading config finish
2025-05-10 15:04:34 | INFO | __main__ : main:61 | start Qt
2025-05-10 15:04:34 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_0‘s data’s min&max  y=[0,23990.42]
2025-05-10 15:04:35 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_1‘s data’s min&max  y=[0,500]
2025-05-10 15:04:35 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_2‘s data’s min&max  y=[0,500]
2025-05-10 15:04:35 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_3‘s data’s min&max  y=[0,500]
2025-05-10 15:04:35 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_2
2025-05-10 15:04:35 | ERROR | index.tab_4 : tab_4:70 | left0
2025-05-10 15:05:18 | INFO | __main__ : main:102 | ----------------------------------------start----------------------------------------
2025-05-10 15:05:18 | INFO | __main__ : main:90 | HOST_COMPUTER_DATA_STORAGE_LOC=D:\WorkSpace\pythonProjectAnimal_message
2025-05-10 15:05:18 | INFO | __main__ : main:106 | loading config start
2025-05-10 15:05:18 | INFO | __main__ : main:25 | 串口通讯配置文件读取成功。
2025-05-10 15:05:18 | INFO | theme.ThemeManager : ThemeManager:60 | ThemeManger:instance._current_theme:  light
2025-05-10 15:05:18 | INFO | __main__ : main:108 | loading config finish
2025-05-10 15:05:18 | INFO | __main__ : main:61 | start Qt
2025-05-10 15:05:19 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_0‘s data’s min&max  y=[0,23990.42]
2025-05-10 15:05:19 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_1‘s data’s min&max  y=[0,500]
2025-05-10 15:05:19 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_2‘s data’s min&max  y=[0,500]
2025-05-10 15:05:19 | INFO | ui.customize_ui.tab2_tab0_charts_single_column : tab2_tab0_charts_single_column:237 | current_tab_3‘s data’s min&max  y=[0,500]
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_2
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left0
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_2
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right1
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_3
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left2
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_3
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right3
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_1
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left4
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_1
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right5
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_5
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left6
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_5
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right7
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_4
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left8
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_4
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right9
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_7
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left10
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_7
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right11
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_8
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left12
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_8
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right13
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_left_6
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:70 | left14
2025-05-10 15:05:19 | INFO | index.tab_4 : tab_4:68 | graphicsView_right_6
2025-05-10 15:05:19 | ERROR | index.tab_4 : tab_4:77 | right15
2025-05-10 15:05:19 | INFO | index.mainWindow : mainWindow:202 | time update thread start
2025-05-10 15:05:19 | WARNING | index.mainWindow : mainWindow:116 | logolabel_btn button's icon resource file was not found！
2025-05-10 15:05:19 | INFO | __main__ : main:68 | Appliacation start
