2025-05-21 08:29:10 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-21 08:29:10 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_comm子进程开始运行
2025-05-21 08:29:10 | INFO |MainProcess | MainThread |  __main__ : main:76 | p_gui子进程开始运行
2025-05-21 08:34:32 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-21 08:34:32 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-21 08:34:32 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-21 08:34:32 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-21 08:34:32 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-21 08:37:02 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-21 08:37:02 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-21 08:37:02 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-21 08:37:02 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-21 08:37:02 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-21 08:37:12 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-21 08:37:12 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-21 08:37:12 | ERROR |MainProcess | MainThread |  __main__ : main:109 | 终止p_deep_camera子进程
2025-05-21 08:37:12 | ERROR |MainProcess | MainThread |  __main__ : main:111 | 终止p_infrared_camera子进程
2025-05-21 09:46:00 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-21 09:46:00 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-21 09:46:00 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-21 09:46:00 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-21 09:46:00 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-21 09:46:16 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-21 09:46:16 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-21 09:46:16 | ERROR |MainProcess | MainThread |  __main__ : main:109 | 终止p_deep_camera子进程
2025-05-21 09:46:16 | ERROR |MainProcess | MainThread |  __main__ : main:111 | 终止p_infrared_camera子进程
2025-05-21 09:50:10 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-21 09:50:10 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-21 09:50:10 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-21 09:50:10 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-21 09:50:10 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-21 09:53:07 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-21 09:53:07 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-21 09:53:07 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-21 09:53:07 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-21 09:53:07 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-21 09:53:44 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-21 09:53:44 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-21 09:53:44 | ERROR |MainProcess | MainThread |  __main__ : main:109 | 终止p_deep_camera子进程
2025-05-21 09:53:44 | ERROR |MainProcess | MainThread |  __main__ : main:111 | 终止p_infrared_camera子进程
2025-05-21 09:54:34 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-21 09:54:34 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-21 09:54:35 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-21 09:54:35 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-21 09:54:35 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-21 09:54:50 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
