2025-05-20 19:00:21 | INFO |MainProcess | MainThread |  __main__ : main:54 | ----------------------------------------main_start----------------------------------------
2025-05-20 19:00:21 | INFO |MainProcess | MainThread |  __main__ : main:60 | p_comm子进程开始运行
2025-05-20 19:00:21 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_gui子进程开始运行
2025-05-20 19:00:58 | ERROR |MainProcess | MainThread |  __main__ : main:79 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-20 19:00:59 | ERROR |MainProcess | MainThread |  __main__ : main:83 | 终止p_comm子进程
2025-05-20 19:02:00 | INFO |MainProcess | MainThread |  __main__ : main:54 | ----------------------------------------main_start----------------------------------------
2025-05-20 19:02:00 | INFO |MainProcess | MainThread |  __main__ : main:60 | p_comm子进程开始运行
2025-05-20 19:02:00 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_gui子进程开始运行
2025-05-20 19:02:21 | ERROR |MainProcess | MainThread |  __main__ : main:79 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-20 19:02:22 | ERROR |MainProcess | MainThread |  __main__ : main:83 | 终止p_comm子进程
2025-05-20 19:38:04 | INFO |MainProcess | MainThread |  __main__ : main:54 | ----------------------------------------main_start----------------------------------------
2025-05-20 19:38:04 | INFO |MainProcess | MainThread |  __main__ : main:60 | p_comm子进程开始运行
2025-05-20 19:38:04 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_gui子进程开始运行
2025-05-20 19:38:26 | ERROR |MainProcess | MainThread |  __main__ : main:79 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-20 19:38:26 | ERROR |MainProcess | MainThread |  __main__ : main:83 | 终止p_comm子进程
2025-05-20 19:38:48 | INFO |MainProcess | MainThread |  __main__ : main:54 | ----------------------------------------main_start----------------------------------------
2025-05-20 19:38:48 | INFO |MainProcess | MainThread |  __main__ : main:60 | p_comm子进程开始运行
2025-05-20 19:38:48 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_gui子进程开始运行
2025-05-20 19:39:24 | ERROR |MainProcess | MainThread |  __main__ : main:79 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-20 19:39:24 | ERROR |MainProcess | MainThread |  __main__ : main:83 | 终止p_comm子进程
2025-05-20 19:44:03 | INFO |MainProcess | MainThread |  __main__ : main:54 | ----------------------------------------main_start----------------------------------------
2025-05-20 19:44:03 | INFO |MainProcess | MainThread |  __main__ : main:60 | p_comm子进程开始运行
2025-05-20 19:44:03 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_gui子进程开始运行
2025-05-20 19:44:43 | ERROR |MainProcess | MainThread |  __main__ : main:79 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-20 19:44:44 | ERROR |MainProcess | MainThread |  __main__ : main:83 | 终止p_comm子进程
2025-05-20 19:49:31 | INFO |MainProcess | MainThread |  __main__ : main:54 | ----------------------------------------main_start----------------------------------------
2025-05-20 19:49:31 | INFO |MainProcess | MainThread |  __main__ : main:60 | p_comm子进程开始运行
2025-05-20 19:49:31 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_gui子进程开始运行
2025-05-20 19:50:44 | INFO |MainProcess | MainThread |  __main__ : main:54 | ----------------------------------------main_start----------------------------------------
2025-05-20 19:50:44 | INFO |MainProcess | MainThread |  __main__ : main:60 | p_comm子进程开始运行
2025-05-20 19:50:44 | INFO |MainProcess | MainThread |  __main__ : main:68 | p_gui子进程开始运行
2025-05-20 19:51:04 | ERROR |MainProcess | MainThread |  __main__ : main:79 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-20 19:51:04 | ERROR |MainProcess | MainThread |  __main__ : main:83 | 终止p_comm子进程
