2025-04-02 08:52:06 | INFO | time update thread start
2025-04-02 08:52:06 | INFO | Appliacation start
2025-04-02 08:53:59 | INFO | start
2025-04-02 08:53:59 | INFO | loading config start
2025-04-02 08:53:59 | INFO | ThemeManger:instance._current_theme:  dark
2025-04-02 08:53:59 | INFO | loading config finish
2025-04-02 08:53:59 | INFO | start Qt
2025-04-02 08:53:59 | ERROR | An error has been caught in function '__init__', process 'MainProcess' (25312), thread 'MainThread' (28452):
Traceback (most recent call last):

  File "D:\WorkSpace\pythonProjectAnimal\main.py", line 49, in <module>
    allWindows = AllWindows()
                 └ <class 'index.all_windows.AllWindows'>

  File "D:\WorkSpace\pythonProjectAnimal\index\all_windows.py", line 25, in __init__
    self._init_ui()
    │    └ <function AllWindows._init_ui at 0x00000203D499CEA0>
    └ <index.all_windows.AllWindows object at 0x00000203D57E5150>

  File "D:\WorkSpace\pythonProjectAnimal\index\all_windows.py", line 32, in _init_ui
    self.mainWindow = MainWindow(title=global_setting.get_setting("configer")['window']['title'])
    │                 │                │              └ <classmethod(<function global_setting.get_setting at 0x00000203D4875EE0>)>
    │                 │                └ <class 'config.global_setting.global_setting'>
    │                 └ <class 'index.mainWindow.MainWindow'>
    └ <index.all_windows.AllWindows object at 0x00000203D57E5150>

  File "D:\WorkSpace\pythonProjectAnimal\index\mainWindow.py", line 69, in __init__
    self._init_customize_ui()
    │    └ <function MainWindow._init_customize_ui at 0x00000203D4BA18A0>
    └ <index.mainWindow.MainWindow object at 0x00000203D5753370>

  File "D:\WorkSpace\pythonProjectAnimal\index\mainWindow.py", line 89, in _init_customize_ui
    self._init_left_menu()
    │    └ <function MainWindow._init_left_menu at 0x00000203D4BA19E0>
    └ <index.mainWindow.MainWindow object at 0x00000203D5753370>

  File "D:\WorkSpace\pythonProjectAnimal\index\mainWindow.py", line 118, in _init_left_menu
    btn_obj['tab'] = Tab(id=i['id'])
    │                │      └ {'id': 1, 'title': '动物概况', 'icon_path': 'generate.svg', 'default': True}
    │                └ <class 'index.tab.Tab'>
    └ {'btn': <ui.customize_ui.left_menu_btn.Ui_left_menu_btn object at 0x00000203D5753D00>, 'id': 1}

  File "D:\WorkSpace\pythonProjectAnimal\index\tab.py", line 28, in __init__
    self._init_ui(parent, geometry, title, id)
    │    │        │       │         │      └ 1
    │    │        │       │         └ ''
    │    │        │       └ None
    │    │        └ None
    │    └ <function Tab._init_ui at 0x00000203D4A81940>
    └ <index.tab.Tab object at 0x00000203D5885B40>

  File "D:\WorkSpace\pythonProjectAnimal\index\tab.py", line 34, in _init_ui
    self.tab = Tab.classes[id - 1]()
    │          │   │       └ 1
    │          │   └ [<class 'index.tab_1.Tab_1'>, <class 'index.tab_2.Tab_2'>, <class 'index.tab_3.Tab_3'>, <class 'index.tab_4.Tab_4'>, <class '...
    │          └ <class 'index.tab.Tab'>
    └ <index.tab.Tab object at 0x00000203D5885B40>

> File "D:\WorkSpace\pythonProjectAnimal\index\tab_1.py", line 18, in __init__
    self._init_customize_ui()
    │    └ <function Tab_1._init_customize_ui at 0x00000203D49E99E0>
    └ <index.tab_1.Tab_1 object at 0x00000203D5885BD0>

  File "D:\WorkSpace\pythonProjectAnimal\index\tab_1.py", line 46, in _init_customize_ui
    self.charts_left_bottom_1 = charts(parent=frame_left_bottom, object_name="charts_tab1_left_bottom_1")
    │                           │             └ <PyQt6.QtWidgets.QVBoxLayout object at 0x00000203D5886200>
    │                           └ <class 'ui.customize_ui.customize_charts.charts'>
    └ <index.tab_1.Tab_1 object at 0x00000203D5885BD0>

  File "D:\WorkSpace\pythonProjectAnimal\ui\customize_ui\customize_charts.py", line 26, in __init__
    self.set_style()
    │    └ <function charts.set_style at 0x00000203D49E96C0>
    └ <ui.customize_ui.customize_charts.charts object at 0x00000203D5887BE0>

  File "D:\WorkSpace\pythonProjectAnimal\ui\customize_ui\customize_charts.py", line 93, in set_style
    self.set_title_style()
    │    └ <function charts.set_title_style at 0x00000203D499E7A0>
    └ <ui.customize_ui.customize_charts.charts object at 0x00000203D5887BE0>

  File "D:\WorkSpace\pythonProjectAnimal\ui\customize_ui\customize_charts.py", line 59, in set_title_style
    self.chart.setTitleBrush(font_color)  # 深蓝色
    │    │     │             └ '#2C3E50'
    │    │     └ <built-in method setTitleBrush>
    │    └ <PyQt6.QtCharts.QChart object at 0x00000203D5887E20>
    └ <ui.customize_ui.customize_charts.charts object at 0x00000203D5887BE0>

TypeError: setTitleBrush(self, brush: Union[QBrush, Union[QColor, Qt.GlobalColor, int], QGradient]): argument 1 has unexpected type 'str'
2025-04-02 08:54:00 | INFO | time update thread start
2025-04-02 08:54:00 | INFO | Appliacation start
2025-04-02 08:55:01 | INFO | start
2025-04-02 08:55:01 | INFO | loading config start
2025-04-02 08:55:01 | INFO | ThemeManger:instance._current_theme:  dark
2025-04-02 08:55:01 | INFO | loading config finish
2025-04-02 08:55:01 | INFO | start Qt
2025-04-02 08:55:02 | INFO | time update thread start
2025-04-02 08:55:02 | INFO | Appliacation start
2025-04-02 08:55:21 | INFO | start
2025-04-02 08:55:21 | INFO | loading config start
2025-04-02 08:55:21 | INFO | ThemeManger:instance._current_theme:  dark
2025-04-02 08:55:21 | INFO | loading config finish
2025-04-02 08:55:21 | INFO | start Qt
2025-04-02 08:55:22 | INFO | time update thread start
2025-04-02 08:55:22 | INFO | Appliacation start
2025-04-02 08:55:28 | INFO | start
2025-04-02 08:55:28 | INFO | loading config start
2025-04-02 08:55:28 | INFO | ThemeManger:instance._current_theme:  dark
2025-04-02 08:55:28 | INFO | loading config finish
2025-04-02 08:55:28 | INFO | start Qt
2025-04-02 08:55:29 | INFO | time update thread start
2025-04-02 08:55:29 | INFO | Appliacation start
2025-04-02 08:56:08 | INFO | start
2025-04-02 08:56:08 | INFO | loading config start
2025-04-02 08:56:08 | INFO | ThemeManger:instance._current_theme:  dark
2025-04-02 08:56:08 | INFO | loading config finish
2025-04-02 08:56:08 | INFO | start Qt
2025-04-02 08:56:08 | INFO | time update thread start
2025-04-02 08:56:08 | INFO | Appliacation start
2025-04-02 08:56:47 | INFO | start
2025-04-02 08:56:47 | INFO | loading config start
2025-04-02 08:56:47 | INFO | ThemeManger:instance._current_theme:  dark
2025-04-02 08:56:47 | INFO | loading config finish
2025-04-02 08:56:47 | INFO | start Qt
2025-04-02 08:56:48 | INFO | time update thread start
2025-04-02 08:56:48 | INFO | Appliacation start
2025-04-02 08:57:19 | WARNING | logolabel_btn按钮的图标资源文件未找到！
2025-04-02 08:57:21 | WARNING | logolabel_btn按钮的图标资源文件未找到！
2025-04-02 08:58:38 | INFO | start
2025-04-02 08:58:38 | INFO | loading config start
2025-04-02 08:58:38 | INFO | ThemeManger:instance._current_theme:  dark
2025-04-02 08:58:38 | INFO | loading config finish
2025-04-02 08:58:38 | INFO | start Qt
2025-04-02 08:58:38 | INFO | time update thread start
2025-04-02 08:58:39 | INFO | Appliacation start
2025-04-02 08:59:04 | INFO | start
2025-04-02 08:59:04 | INFO | loading config start
